pl_hostname,pl_name,pl_discmethod,pl_orbper,st_dist,st_mass,st_rad,pl_rade,pl_trandur,pl_tranmid,pl_facility
WASP-153,WASP-153 b,Transit,3.332609,430,1.34,1.73,17.374,0.16,2453142.542,SuperWASP
K2-29,K2-29 b,Transit,3.2588321,179.39,0.94,0.86,13.339,0.0925,2453219.0095,K2
OGLE-TR-211,OGLE-TR-211 b,Transit,3.67724,1574.54,1.33,1.64,15.244,0.1838,2453428.334,OGLE
HAT-P-1,HAT-P-1 b,Transit,4.46529976,139,1.15,1.17,14.785,0.11875,2453979.93202,HATNet
CoRoT-2,CoRoT-2 b,Transit,1.7429935,200,0.96,0.91,16.432,0.09446,2454237.53556,CoRoT
CoRoT-8,CoRoT-8 b,Transit,6.21229,380,0.88,0.77,6.39,0.1142,2454238.9743,CoRoT
CoRoT-10,CoRoT-10 b,Transit,13.2406,345,0.89,0.79,10.87,0.1242,2454273.3436,CoRoT
WASP-84,WASP-84 b,Transit,8.5234865,125,0.84,0.75,10.559,0.11452,2454286.10583,SuperWASP
WASP-5,WASP-5 b,Transit,1.6284279,300,0.96,1.03,12.184,0.0987,2454373.99598,SuperWASP
CoRoT-12,CoRoT-12 b,Transit,2.828042,1150,1.08,1.12,16.14,0.10726,2454398.62707,CoRoT
CoRoT-21,CoRoT-21 b,Transit,2.72474,1398.83,1.29,1.95,14.572,0.1983333,2454399.0282,CoRoT
HAT-P-9,HAT-P-9 b,Transit,3.92289,480,1.28,1.32,15.69,0.143,2454417.9077,HATNet
HAT-P-12,HAT-P-12 b,Transit,3.2130598,142.5,0.73,0.7,10.749,0.0974,2454419.19556,HATNet
XO-2 N,XO-2 N b,Transit,2.61586178,145.5,0.97,0.99,11.131,0.1118292,2454508.73829,XO
CoRoT-26,CoRoT-26 b,Transit,4.20474,1670,1.09,1.79,14.12,0.2279,2454573.6299,CoRoT
CoRoT-25,CoRoT-25 b,Transit,4.86069,1000,1.09,1.19,12.11,0.08,2454576.2156,CoRoT
CoRoT-6,CoRoT-6 b,Transit,8.886593,657.24,1.05,1.02,13.068,0.17,2454595.6144,CoRoT
CoRoT-11,CoRoT-11 b,Transit,2.99433,560,1.27,1.37,16.03,0.1042,2454597.679,CoRoT
CoRoT-22,CoRoT-22 b,Transit,9.75598,592,1.1,1.14,4.88,0.1872,2454598.42014,CoRoT
WASP-10,WASP-10 b,Transit,3.0927616,90,0.75,0.7,12.106,0.0928,2454664.037295,SuperWASP
WASP-156,WASP-156 b,Transit,3.836169,140,0.84,0.76,5.717,0.1004167,2454677.707,SuperWASP
HAT-P-18,HAT-P-18 b,Transit,5.508023,166,0.77,0.75,11.153,0.1131,2454715.02174,HATNet
WASP-21,WASP-21 b,Transit,4.322482,242,0.89,1.14,11.99,0.1398,2454743.0419,SuperWASP
CoRoT-14,CoRoT-14 b,Transit,1.51214,1340,1.13,1.21,12.22,0.0693,2454787.6694,CoRoT
CoRoT-24,CoRoT-24 b,Transit,5.1134,600,0.91,0.86,3.7,0.1188,2454789.611,CoRoT
CoRoT-13,CoRoT-13 b,Transit,4.03519,1060,1.09,1.01,9.92,0.1308,2454790.8091,CoRoT
CoRoT-24,CoRoT-24 c,Transit,11.759,600,0.91,0.86,5,0.2,2454795.3803,CoRoT
Kepler-445,Kepler-445 d,Transit,8.15275,90,0.18,0.21,1.25,0.0578,2454836.751223,Kepler
CoRoT-17,CoRoT-17 b,Transit,3.7681,920,1.04,1.59,11.43,0.196667,2454923.3093,CoRoT
CoRoT-16,CoRoT-16 b,Transit,5.35227,840,1.1,1.19,13.11,0.0996,2454923.9138,CoRoT
KOI-142,KOI-142 b,Transit,10.95416,339,0.96,0.88,3.78,0.1367,2454954.62702,Kepler
Kepler-36,Kepler-36 c,Transit,16.23855,470,1.07,1.63,3.679,0.3101,2454955.9132,Kepler
Kepler-36,Kepler-36 b,Transit,13.83989,470,1.07,1.63,1.486,0.2825,2454960.9753,Kepler
Kepler-484,Kepler-484 b,Transit,10.04556931,377,0.96,0.87,2.28,0.133275,2454962.093273,Kepler
Kepler-1331,Kepler-1331 b,Transit,0.78916165,365,0.72,0.69,1.05,0.037717,2454964.5051,Kepler
Kepler-1264,Kepler-1264 b,Transit,0.96852602,814,0.99,0.98,1.18,0.053767,2454964.51141,Kepler
Kepler-1037,Kepler-1037 b,Transit,1.06378867,451,0.82,0.78,1.28,0.04485,2454964.524735,Kepler
Kepler-1577,Kepler-1577 b,Transit,6.30560247,543,0.78,0.74,1.13,0.10283,2454964.53113,Kepler
Kepler-1372,Kepler-1372 b,Transit,1.31155557,1161,0.98,0.97,1.27,0.08437,2454964.53493,Kepler
Kepler-1589,Kepler-1589 b,Transit,0.99166527,1418,1.18,1.25,1.09,0.09908,2454964.53504,Kepler
Kepler-1525,Kepler-1525 b,Transit,2.41660118,396,1.07,1.04,0.91,0.0819,2454964.53739,Kepler
Kepler-520,Kepler-520 c,Transit,5.21104261,492,1.1,1.09,1.07,0.137546,2454964.53958,Kepler
Kepler-1566,Kepler-1566 b,Transit,0.53991524,511,0.84,0.81,0.79,0.04746,2454964.55175,Kepler
Kepler-1082,Kepler-1082 b,Transit,1.5432066,628,1.03,1.14,1.12,0.108725,2454964.55588,Kepler
Kepler-1039,Kepler-1039 b,Transit,0.93488424,324,0.79,0.74,1.46,0.059058,2454964.581851,Kepler
Kepler-950,Kepler-950 b,Transit,98.7180406,1489,1.02,1.02,8.98,0.267433,2454964.58611,Kepler
Kepler-1492,Kepler-1492 b,Transit,16.75255007,371,0.77,0.72,1.49,0.13267,2454964.59518,Kepler
Kepler-1125,Kepler-1125 b,Transit,17.6700642,910,0.95,0.94,1.84,0.2405,2454964.59796,Kepler
Kepler-1288,Kepler-1288 b,Transit,2.76122421,715,1.2,1.29,1.12,0.15258,2454964.61013,Kepler
Kepler-1075,Kepler-1075 b,Transit,1.52372816,265,0.56,0.54,1.42,0.06105,2454964.61924,Kepler
Kepler-1067,Kepler-1067 b,Transit,0.76212926,689,0.95,0.93,0.8,0.04483,2454964.62001,Kepler
Kepler-1403,Kepler-1403 b,Transit,5.19492202,1801,1.11,1.15,2.14,0.13117,2454964.6228,Kepler
Kepler-1326,Kepler-1326 b,Transit,42.3514267,910,1.45,1.74,4.18,0.31815,2454964.6238,Kepler
Kepler-1357,Kepler-1357 b,Transit,3.0091324,1026,0.93,0.9,1.28,0.09454,2454964.62411,Kepler
Kepler-1313,Kepler-1313 b,Transit,3.83309118,187,0.92,0.85,1.76,0.05717,2454964.63409,Kepler
Kepler-1446,Kepler-1446 b,Transit,0.68996783,162,0.81,0.75,0.82,0.050563,2454964.635244,Kepler
Kepler-1602,Kepler-1602 b,Transit,11.17931605,815,1.22,1.36,1.34,0.12679,2454964.6405,Kepler
Kepler-1027,Kepler-1027 b,Transit,1.9078052,291,0.91,0.82,0.89,0.077213,2454964.64063,Kepler
Kepler-1343,Kepler-1343 b,Transit,3.35183158,1307,0.95,0.93,1.93,0.080854,2454964.64828,Kepler
Kepler-990,Kepler-990 c,Transit,0.53835431,933,1.05,1.08,1.53,0.061671,2454964.64931,Kepler
Kepler-1107,Kepler-1107 b,Transit,0.57103852,457,0.86,0.82,1.34,0.04342,2454964.653538,Kepler
Kepler-1340,Kepler-1340 b,Transit,0.66502692,1421,1.27,1.42,1.55,0.072433,2454964.65768,Kepler
Kepler-1604,Kepler-1604 b,Transit,0.68368426,562,0.81,0.76,1.41,0.041638,2454964.660402,Kepler
Kepler-1319,Kepler-1319 b,Transit,2.88676265,114,0.56,0.54,1.34,0.03687,2454964.66581,Kepler
Kepler-1579,Kepler-1579 b,Transit,0.84990789,466,0.75,0.7,0.84,0.045521,2454964.67178,Kepler
Kepler-1631,Kepler-1631 b,Transit,4.09513932,1190,0.97,0.95,1.35,0.08038,2454964.67653,Kepler
Kepler-1368,Kepler-1368 b,Transit,0.67564949,1750,1.07,1.08,1.65,0.079312,2454964.68163,Kepler
Kepler-1523,Kepler-1523 b,Transit,0.93875077,918,0.97,0.96,1.58,0.057921,2454964.68214,Kepler
Kepler-1257,Kepler-1257 b,Transit,2.66831376,1081,0.9,0.87,1.52,0.098579,2454964.68877,Kepler
Kepler-1415,Kepler-1415 b,Transit,0.63642408,1066,0.89,0.84,1.29,0.044183,2454964.69006,Kepler
Kepler-1379,Kepler-1379 b,Transit,0.88184115,951,0.83,0.79,1.3,0.054379,2454964.69064,Kepler
Kepler-1516,Kepler-1516 b,Transit,7.25931979,872,1.04,1.07,1.75,0.25825,2454964.71187,Kepler
Kepler-998,Kepler-998 b,Transit,5.65377733,996,1.12,1.18,2.32,0.081717,2454964.71214,Kepler
Kepler-603,Kepler-603 d,Transit,6.2171292,967,1.01,1.01,1.32,0.15421,2454964.72164,Kepler
Kepler-1542,Kepler-1542 d,Transit,5.99273738,336,0.94,0.99,0.87,0.106192,2454964.74864,Kepler
Kepler-607,Kepler-607 b,Transit,0.6381632,500,0.84,0.8,0.87,0.049329,2454964.74909,Kepler
Kepler-1066,Kepler-1066 b,Transit,1.93155984,399,0.98,0.98,2.36,0.067846,2454964.7658,Kepler
Kepler-963,Kepler-963 b,Transit,9.97683705,786,0.91,0.87,2.66,0.14246,2454964.76674,Kepler
Kepler-1408,Kepler-1408 b,Transit,2.99793191,426,1.21,1.35,0.89,0.183,2454964.76683,Kepler
Kepler-1471,Kepler-1471 b,Transit,3.63899398,1059,0.95,0.93,1.41,0.09221,2454964.78544,Kepler
Kepler-1547,Kepler-1547 b,Transit,0.69297968,665,1.12,1.18,0.9,0.04508,2454964.8001,Kepler
Kepler-1003,Kepler-1003 b,Transit,3.55485691,873,1.11,1.17,1.78,0.087608,2454964.80397,Kepler
Kepler-1146,Kepler-1146 b,Transit,2.3522658,694,0.74,0.7,1.23,0.07113,2454964.80405,Kepler
Kepler-932,Kepler-932 b,Transit,1.9214374,478,0.87,0.84,1.37,0.072996,2454964.806131,Kepler
Kepler-1342,Kepler-1342 b,Transit,2.21571036,941,0.93,0.9,1.66,0.078812,2454964.82215,Kepler
Kepler-1139,Kepler-1139 b,Transit,0.81316672,555,0.94,0.91,1.19,0.059483,2454964.82534,Kepler
Kepler-1193,Kepler-1193 b,Transit,2.83265213,695,1.08,1.21,1.32,0.09935,2454964.82631,Kepler
Kepler-1603,Kepler-1603 b,Transit,2.27163926,1751,1.21,1.31,1.29,0.16846,2454964.82792,Kepler
Kepler-1366,Kepler-1366 b,Transit,2.16457097,395,0.62,0.6,1.43,0.0577,2454964.83228,Kepler
Kepler-770,Kepler-770 c,Transit,1.47532231,761,0.94,0.92,1.2,0.09692,2454964.8332,Kepler
Kepler-1250,Kepler-1250 b,Transit,2.60754383,1371,0.99,0.98,1.92,0.061025,2454964.83537,Kepler
Kepler-981,Kepler-981 b,Transit,4.46975774,913,0.98,0.96,2.31,0.075258,2454964.84366,Kepler
Kepler-1584,Kepler-1584 b,Transit,13.3997099,1325,1.1,1.13,1.61,0.14717,2454964.84744,Kepler
Kepler-1398,Kepler-1398 b,Transit,2.78815679,793,1.13,1.18,0.9,0.13858,2454964.85216,Kepler
Kepler-1367,Kepler-1367 b,Transit,1.57409027,357,0.62,0.6,0.92,0.066642,2454964.86218,Kepler
Kepler-1061,Kepler-1061 b,Transit,2.75798267,585,1.09,1.07,1.98,0.095442,2454964.87883,Kepler
Kepler-1007,Kepler-1007 b,Transit,5.18500207,365,0.73,0.7,1.44,0.090712,2454964.87942,Kepler
Kepler-1618,Kepler-1618 b,Transit,6.10826019,1238,1.41,1.65,1.26,0.15204,2454964.8803,Kepler
Kepler-1388,Kepler-1388 c,Transit,5.53608151,492,0.63,0.61,2.26,0.090904,2454964.88574,Kepler
Kepler-1355,Kepler-1355 b,Transit,1.28958811,963,0.88,0.83,1.46,0.059246,2454964.89161,Kepler
Kepler-1356,Kepler-1356 b,Transit,0.63400294,881,0.82,0.78,1.53,0.038488,2454964.89483,Kepler
Kepler-33,Kepler-33 b,Transit,5.66793,1113,1.29,1.82,1.74,0.2033,2454964.8981,Kepler
Kepler-1078,Kepler-1078 b,Transit,3.00725242,1215,0.94,0.92,1.9,0.18067,2454964.90272,Kepler
Kepler-1388,Kepler-1388 b,Transit,12.2854603,492,0.63,0.61,2.59,0.12654,2454964.90294,Kepler
Kepler-1500,Kepler-1500 b,Transit,15.0330105,904,1,1,1.2,0.22567,2454964.90421,Kepler
Kepler-1601,Kepler-1601 b,Transit,2.20921951,660,1.04,1.07,0.82,0.1138,2454964.90843,Kepler
Kepler-1624,Kepler-1624 b,Transit,3.29030452,199,0.5,0.47,5.7,0.072938,2454964.90925,Kepler
Kepler-1377,Kepler-1377 b,Transit,0.74092842,1019,0.86,0.82,1.25,0.046675,2454964.90927,Kepler
Kepler-1402,Kepler-1402 b,Transit,2.03387914,681,0.9,0.87,0.76,0.13337,2454964.9169,Kepler
Kepler-1216,Kepler-1216 b,Transit,4.37034536,1124,0.99,0.98,1.39,0.11746,2454964.92397,Kepler
Kepler-1438,Kepler-1438 b,Transit,2.31942009,866,0.97,0.96,0.94,0.06717,2454964.93583,Kepler
Kepler-975,Kepler-975 b,Transit,1.97034246,404,0.8,0.75,1.48,0.072421,2454964.947762,Kepler
Kepler-1528,Kepler-1528 b,Transit,1.79111021,916,1.03,1.03,1.46,0.08742,2454964.95809,Kepler
Kepler-1315,Kepler-1315 b,Transit,0.84338011,505,0.8,0.75,1.38,0.059842,2454964.966211,Kepler
Kepler-969,Kepler-969 c,Transit,1.6829346,411,0.92,0.82,0.99,0.078071,2454964.96803,Kepler
Kepler-1292,Kepler-1292 b,Transit,3.27646405,1406,0.95,0.93,1.82,0.09467,2454964.97934,Kepler
Kepler-1259,Kepler-1259 b,Transit,0.66308526,704,0.8,0.77,1.43,0.044546,2454964.97945,Kepler
Kepler-433,Kepler-433 b,Transit,5.33408384,1870,1.46,2.26,16.25,0.2574,2454964.98152,Kepler
Kepler-1573,Kepler-1573 b,Transit,2.6157554,1180,1.01,1,1.2,0.10996,2454964.98236,Kepler
Kepler-1373,Kepler-1373 b,Transit,1.29123275,1112,1.22,1.33,1.16,0.07817,2454964.98938,Kepler
Kepler-1070,Kepler-1070 b,Transit,6.2216147,1040,1.21,1.32,1.73,0.135858,2454964.99143,Kepler
Kepler-1586,Kepler-1586 b,Transit,15.6049212,864,1.45,1.75,1.52,0.18837,2454964.9938,Kepler
Kepler-1351,Kepler-1351 b,Transit,0.91614077,241,0.7,0.67,0.65,0.047896,2454965.02275,Kepler
Kepler-929,Kepler-929 b,Transit,0.92103214,820,1.01,1.02,1.11,0.105604,2454965.03025,Kepler
Kepler-1206,Kepler-1206 b,Transit,1.21699766,807,0.8,0.75,1.64,0.054588,2454965.03255,Kepler
Kepler-65,Kepler-65 c,Transit,5.859944,291,1.25,1.41,2.58,0.1637,2454965.0391,Kepler
Kepler-625,Kepler-625 c,Transit,4.1653651,502,1.04,0.96,1.05,0.137063,2454965.04209,Kepler
Kepler-1124,Kepler-1124 b,Transit,2.85234897,177,0.35,0.34,1.28,0.02942,2454965.044317,Kepler
Kepler-1317,Kepler-1317 b,Transit,0.56887443,734,0.83,0.79,1.56,0.050633,2454965.048841,Kepler
Kepler-1203,Kepler-1203 b,Transit,0.58800076,269,0.64,0.61,1.06,0.048446,2454965.059132,Kepler
Kepler-1520,Kepler-1520 b,Transit,0.65355357,636,0.76,0.71,5.77,0.064162,2454965.059231,Kepler
Kepler-1152,Kepler-1152 b,Transit,1.64680191,184,0.55,0.53,0.87,0.052338,2454965.0606,Kepler
Kepler-1346,Kepler-1346 b,Transit,3.40165668,1123,1.14,1.21,1.58,0.074767,2454965.06095,Kepler
Kepler-1320,Kepler-1320 b,Transit,0.86838653,771,0.8,0.74,1.7,0.044063,2454965.06728,Kepler
Kepler-1127,Kepler-1127 b,Transit,5.12330347,996,0.97,0.95,1.96,0.124933,2454965.08566,Kepler
Kepler-1167,Kepler-1167 b,Transit,1.00393374,811,0.79,0.75,1.71,0.060675,2454965.09731,Kepler
Kepler-524,Kepler-524 c,Transit,1.88897906,730,1.09,1.1,0.96,0.13525,2454965.0974,Kepler
Kepler-1322,Kepler-1322 b,Transit,0.96286738,1217,0.9,0.87,1.61,0.067696,2454965.12398,Kepler
Kepler-1409,Kepler-1409 b,Transit,0.76486493,722,0.83,0.79,1.04,0.049079,2454965.13076,Kepler
Kepler-1613,Kepler-1613 b,Transit,1.5184299,855,1.08,1.12,2.08,0.14225,2454965.131,Kepler
Kepler-1099,Kepler-1099 b,Transit,2.16845259,1209,1.01,1,2.83,0.069212,2454965.14076,Kepler
Kepler-1529,Kepler-1529 b,Transit,5.33905686,683,0.81,0.77,2.1,0.068779,2454965.14224,Kepler
Kepler-730,Kepler-730 c,Transit,2.85188338,2020.2,1.05,1.41,1.569,0.115,2454965.1455,Kepler
Kepler-1143,Kepler-1143 b,Transit,2.88890485,632,0.81,0.77,1.67,0.064742,2454965.15279,Kepler
Kepler-1089,Kepler-1089 b,Transit,5.13248562,227,0.52,0.49,1.83,0.06796,2454965.1593,Kepler
Kepler-804,Kepler-804 c,Transit,9.65185017,648,1.01,1.05,1.14,0.18571,2454965.15945,Kepler
Kepler-1157,Kepler-1157 b,Transit,4.45743164,346,0.76,0.71,1.09,0.098237,2454965.16009,Kepler
Kepler-1559,Kepler-1559 b,Transit,0.97191543,580,0.86,0.82,0.72,0.06788,2454965.16475,Kepler
Kepler-1255,Kepler-1255 b,Transit,36.2919336,1344,1.08,1.12,2.32,0.34087,2454965.17812,Kepler
Kepler-1087,Kepler-1087 b,Transit,0.69384285,354,0.96,0.94,0.61,0.063483,2454965.18012,Kepler
Kepler-1105,Kepler-1105 b,Transit,4.42157218,369,0.71,0.68,2.01,0.086454,2454965.18354,Kepler
Kepler-498,Kepler-498 b,Transit,9.61375356,746,0.98,0.96,3.03,0.197104,2454965.18509,Kepler
Kepler-913,Kepler-913 b,Transit,10.29672521,597,0.63,0.61,2.06,0.113492,2454965.19659,Kepler
Kepler-1338,Kepler-1338 b,Transit,0.93511806,619,1.04,1.05,0.92,0.06425,2454965.19931,Kepler
Kepler-1522,Kepler-1522 b,Transit,1.84788917,690,0.96,0.93,1.73,0.078892,2454965.19975,Kepler
Kepler-1244,Kepler-1244 b,Transit,3.70428172,764,1.46,1.77,1.35,0.13671,2454965.2159,Kepler
Kepler-1578,Kepler-1578 b,Transit,1.45088691,1016,0.9,0.86,1.04,0.07421,2454965.23033,Kepler
Kepler-1371,Kepler-1371 b,Transit,3.4462039,450,0.87,0.83,0.73,0.08337,2454965.23052,Kepler
Kepler-1607,Kepler-1607 b,Transit,13.6473676,735,1.14,1.21,0.92,0.32371,2454965.2362,Kepler
Kepler-908,Kepler-908 b,Transit,1.34059747,250,1.11,1.12,1.22,0.067021,2454965.24442,Kepler
Kepler-1614,Kepler-1614 b,Transit,3.9466141,982,0.79,0.76,1.49,0.11817,2454965.24559,Kepler
Kepler-910,Kepler-910 b,Transit,2.36436901,402,1.26,1.5,0.82,0.136883,2454965.25006,Kepler
Kepler-1265,Kepler-1265 b,Transit,6.49441289,581,0.71,0.69,1.35,0.09346,2454965.25045,Kepler
Kepler-1323,Kepler-1323 b,Transit,0.92990668,530,1.18,1.4,1.52,0.072617,2454965.250751,Kepler
Kepler-1352,Kepler-1352 b,Transit,1.87788275,637,1.11,1.16,0.89,0.09696,2454965.26191,Kepler
Kepler-1595,Kepler-1595 b,Transit,4.56380468,841,0.84,0.8,1.23,0.0967,2454965.2627,Kepler
Kepler-1289,Kepler-1289 b,Transit,7.99019627,1059,1.1,1.17,1.52,0.13642,2454965.27183,Kepler
Kepler-1235,Kepler-1235 b,Transit,4.16055856,533,0.93,0.9,0.79,0.10896,2454965.27378,Kepler
Kepler-1386,Kepler-1386 b,Transit,6.73972381,838,1.02,1.03,1.24,0.17108,2454965.2865,Kepler
Kepler-1530,Kepler-1530 b,Transit,2.5904434,552,0.92,0.88,1.64,0.090075,2454965.2871,Kepler
Kepler-1399,Kepler-1399 b,Transit,1.63865306,1256,0.97,0.96,1.25,0.08117,2454965.28994,Kepler
Kepler-1016,Kepler-1016 b,Transit,1.95452434,1239,0.99,1,2.18,0.08733,2454965.29717,Kepler
Kepler-1012,Kepler-1012 b,Transit,5.50860439,420,0.95,0.91,1.29,0.122783,2454965.29848,Kepler
Kepler-1217,Kepler-1217 b,Transit,2.03232507,1363,1.06,1.08,1.99,0.07158,2454965.31867,Kepler
Kepler-1148,Kepler-1148 b,Transit,1.10446351,682,0.81,0.77,1.69,0.043946,2454965.32076,Kepler
Kepler-1154,Kepler-1154 b,Transit,5.1856142,1531,1.26,1.43,2.34,0.16983,2454965.32089,Kepler
Kepler-1385,Kepler-1385 b,Transit,2.88879862,527,1.15,1.29,0.85,0.12421,2454965.33156,Kepler
Kepler-1645,Kepler-1645 b,Transit,16.1779561,844,1.02,1.02,1.78,0.21954,2454965.33629,Kepler
Kepler-1059,Kepler-1059 b,Transit,3.76419105,673,0.75,0.72,1.73,0.085817,2454965.35098,Kepler
Kepler-1594,Kepler-1594 b,Transit,2.71603809,1100,1.06,1.08,1.06,0.07746,2454965.35913,Kepler
Kepler-1468,Kepler-1468 c,Transit,3.54553021,1130,1.04,1.05,1.15,0.1737,2454965.37696,Kepler
Kepler-1443,Kepler-1443 b,Transit,2.41811321,475,1.19,1.27,0.97,0.09142,2454965.38281,Kepler
Kepler-487,Kepler-487 b,Transit,15.3587684,835,0.91,0.88,11.42,0.172717,2454965.385103,Kepler
Kepler-1268,Kepler-1268 b,Transit,40.9903986,1406,1.06,1.09,2.03,0.30254,2454965.41393,Kepler
Kepler-1597,Kepler-1597 b,Transit,2.94654179,1255,1.25,1.39,1.06,0.1367,2454965.41542,Kepler
Kepler-1542,Kepler-1542 e,Transit,5.10115756,336,0.94,0.99,0.76,0.10896,2454965.42378,Kepler
Kepler-1228,Kepler-1228 b,Transit,0.57736958,547,0.78,0.74,1.54,0.045679,2454965.425551,Kepler
Kepler-1053,Kepler-1053 b,Transit,2.41435165,171,0.74,0.69,0.98,0.051033,2454965.428855,Kepler
Kepler-1427,Kepler-1427 b,Transit,0.96897238,1220,1.01,1.01,1.1,0.06758,2454965.42945,Kepler
Kepler-997,Kepler-997 b,Transit,2.70730672,470,1.22,1.56,1.36,0.144262,2454965.43096,Kepler
Kepler-1054,Kepler-1054 b,Transit,4.30655689,1050,1.22,1.34,2.63,0.169571,2454965.44215,Kepler
Kepler-495,Kepler-495 b,Transit,3.41303622,630,0.86,0.83,5.23,0.1086471,2454965.443088,Kepler
Kepler-914,Kepler-914 b,Transit,4.40966548,678,1.1,1.15,1.38,0.087775,2454965.44902,Kepler
Kepler-1575,Kepler-1575 b,Transit,2.55314213,1170,0.95,0.92,1.31,0.07742,2454965.45164,Kepler
Kepler-1561,Kepler-1561 b,Transit,1.00520701,993,1.07,1.11,1.09,0.0675,2454965.45528,Kepler
Kepler-1174,Kepler-1174 b,Transit,6.89225223,829,1.04,1.04,1.59,0.102317,2454965.4643,Kepler
Kepler-1531,Kepler-1531 b,Transit,1.13854338,670,1.16,1.27,1.11,0.087175,2454965.46572,Kepler
Kepler-1222,Kepler-1222 b,Transit,1.91694425,455,0.84,0.8,0.79,0.060954,2454965.46704,Kepler
Kepler-494,Kepler-494 b,Transit,8.02511821,862,1.1,1.26,7.14,0.221621,2454965.469125,Kepler
Kepler-1349,Kepler-1349 b,Transit,2.12823928,260,1.16,1.28,0.7,0.13771,2454965.47062,Kepler
Kepler-1532,Kepler-1532 b,Transit,1.09366356,824,0.91,0.88,1.35,0.061829,2454965.47329,Kepler
Kepler-101,Kepler-101 c,Transit,6.02976,657,1.17,1.56,1.25,0.16,2454965.486,Kepler
Kepler-1565,Kepler-1565 b,Transit,1.53818844,657,0.76,0.73,1.19,0.070925,2454965.4894,Kepler
Kepler-1312,Kepler-1312 b,Transit,5.44832529,305,0.99,0.92,2.1,0.092712,2454965.49031,Kepler
Kepler-1173,Kepler-1173 b,Transit,0.7698536,402,0.86,0.82,0.89,0.042817,2454965.52142,Kepler
Kepler-1623,Kepler-1623 b,Transit,4.36128348,986,1,1,1.31,0.08575,2454965.52717,Kepler
Kepler-1358,Kepler-1358 b,Transit,7.06317341,558,0.82,0.79,1.12,0.09421,2454965.53077,Kepler
Kepler-763,Kepler-763 b,Transit,1.19655156,902,0.84,0.8,1.22,0.049587,2454965.53082,Kepler
Kepler-32,Kepler-32 f,Transit,0.74296,303,0.58,0.53,0.82,0.039,2454965.54,Kepler
Kepler-928,Kepler-928 b,Transit,3.9324613,532,0.73,0.7,1.59,0.091592,2454965.55465,Kepler
Kepler-1295,Kepler-1295 b,Transit,3.81371974,1257,0.92,0.89,1.55,0.08354,2454965.57103,Kepler
Kepler-1179,Kepler-1179 b,Transit,2.68505749,454,0.84,0.81,1.32,0.042621,2454965.60411,Kepler
Kepler-1091,Kepler-1091 b,Transit,1.43474156,915,1.01,1.03,1.46,0.078379,2454965.62944,Kepler
Kepler-289,Kepler-289 b,Transit,34.545,700,1.08,1,2.15,0.1324,2454965.6404,Kepler
Kepler-1019,Kepler-1019 b,Transit,1.41122985,198,0.7,0.67,1.46,0.057967,2454965.642284,Kepler
Kepler-1197,Kepler-1197 b,Transit,2.03231845,505,0.78,0.72,1.25,0.046725,2454965.64366,Kepler
Kepler-1416,Kepler-1416 b,Transit,1.49514952,807,1.09,1.15,0.88,0.1296,2454965.66209,Kepler
Kepler-1138,Kepler-1138 b,Transit,3.17060005,1101,0.95,0.92,1.7,0.065742,2454965.67726,Kepler
Kepler-1098,Kepler-1098 b,Transit,2.54307286,876,0.99,0.99,1.3,0.114558,2454965.67929,Kepler
Kepler-912,Kepler-912 b,Transit,2.53475627,1265,1.07,1.11,2.8,0.183954,2454965.68056,Kepler
Kepler-971,Kepler-971 b,Transit,9.59070716,345,0.88,0.85,2.13,0.145196,2454965.68117,Kepler
Kepler-1031,Kepler-1031 b,Transit,1.22621732,741,1.09,1.12,0.87,0.089525,2454965.68683,Kepler
Kepler-1215,Kepler-1215 b,Transit,4.76703963,701,0.95,0.93,1.22,0.0771,2454965.69039,Kepler
Kepler-605,Kepler-605 c,Transit,2.35895152,570,0.91,0.88,0.86,0.06804,2454965.69119,Kepler
Kepler-1055,Kepler-1055 b,Transit,2.29503623,422,0.98,0.94,1.23,0.068579,2454965.69278,Kepler
Kepler-1071,Kepler-1071 b,Transit,6.1799844,964,0.86,0.81,2.38,0.087746,2454965.72243,Kepler
Kepler-968,Kepler-968 b,Transit,3.69298373,312,0.76,0.7,2,0.072046,2454965.736952,Kepler
Kepler-1339,Kepler-1339 b,Transit,1.34155513,267,0.94,0.93,0.71,0.070871,2454965.7388,Kepler
Kepler-1274,Kepler-1274 b,Transit,6.98152703,609,1.45,2.17,1.42,0.24567,2454965.76973,Kepler
Kepler-1123,Kepler-1123 b,Transit,4.33946454,796,0.93,0.9,1.67,0.095721,2454965.80245,Kepler
Kepler-1393,Kepler-1393 b,Transit,2.44357812,462,0.95,0.92,0.8,0.07592,2454965.8054,Kepler
Kepler-1537,Kepler-1537 b,Transit,1.4444538,503,0.81,0.77,1.18,0.040617,2454965.80647,Kepler
Kepler-1406,Kepler-1406 b,Transit,11.62905828,587,1.05,1.12,1.1,0.11858,2454965.82038,Kepler
Kepler-959,Kepler-959 b,Transit,14.80074836,1003,1.6,2.01,4.38,0.236242,2454965.82305,Kepler
Kepler-1335,Kepler-1335 b,Transit,6.26406846,628,0.77,0.74,1.45,0.10175,2454965.82895,Kepler
Kepler-1200,Kepler-1200 b,Transit,1.11854972,579,0.74,0.7,1.06,0.064271,2454965.84717,Kepler
Kepler-1245,Kepler-1245 b,Transit,4.35409304,861,0.86,0.83,1.44,0.09638,2454965.85275,Kepler
